id`ingredients_text`allergens`traces_tags`additives_tags`ingredients_from_palm_oil_tags`ingredients_that_may_be_from_palm_oil_tags`product_id
0`Izolat białka sojowego (47%), maltodekstryna, kazeinian wapnia (zawiera mleko), sproszkowane tłuszcze roślinne (olej słonecznikowy, maltodekstryna, kazeinian sodu (zawiera mleko), aromaty, fosforan magnezu, emulgator (lecytyna sojowa), chlorek sodu, chlorek potasu, substancje zagęszczające (guma guar, guma ksantanowa), fosforan wapnia, tlenek magnezu, substancja słodząca (sukraloza), kwas L-askorbinowy, beta-karoten, octan DL-alfa-tokoferylu, nikotynamid, tlenek cynku, D-pantotenian wapnia, węglan manganu, anty -substancja zbrylająca (dwutlenek krzemu), cyjanokobalamina, cholekalcyferol, chlorowodorek pirydoksyny chlorowodorek tiaminy, ryboflawina, cytrynian miedzi, kwas pteroilomonoglutaminowy, jodek potasu, jodek potasu sodu, D-biotyna.`en:milk,en:soybeans`en:milk`e322i,e343,e412,e415,e551,e955``huile-vegetale,e160a-beta-carotene`2356503
67112`celuloza mikrokrystaliczna, hydroksypropylometyloceluloza, maltodekstryna, etyloceluloza, sole magnezowe roślinnych kwasów tłuszczowych```e460i,e462,e464```1836557
241877`Wyndb drabiowy, drobno rozdrobniony, wędzony, parzony, suszony. Ze 145 g mięsa drobiowego (w tym 111 g mięsa z kurczaka i 34 g miesa zindyka) wyprodukowano 100 g produktu. Siladniki: mięso z kurzaka, mięso z indyka, skrobia, sốl, substancja żelująca: alginian sodu, przyprawy, Bez dodatke KONSERWANTO aromaty, susz zaceroli. Produkt može zawierać: soje, mleko, orzechy, seler, gorczycę. Pakowany w atmosferze ochronnej.``pl:soję-mleko-orzechy-seler-gorczyce`e401```2011322
271283`Cynamon kasja.``````2040728
307329``en:milk,en:peanuts,en:soybeans`en:peanuts````2076774
310602`sok grejpfrutowy 100%``````2080047
317632`avocado``````2087077
317850`bananas``````2087295
318110`Strawberries``````2087555
326189`Orzechy mieszane (76%) (migdały, orzechy nerkowca, orzeszki ziemne) miód, syrop glukozowy, błonnik z korzenia cykorii, mąka ryżowa, sól morska (1%). emulgator (lecytyna sojowa), cukier. Może zawierać śladowe ilości orzechów, nasion sezamu i fragmentów łupin orzechów.`en:soybeans`en:nuts,en:sesame-seeds`e322i```2095634
343216`Syrop glukozowy, cukier, Isigny solony _Beurre_ AOP 10%, pełne mleko w proszku, tłuszcz 26%, fleur de sel z L'lle de Ré 1,7%, woda, aromat naturalny, wanilia, proszek do pieczenia: soda oczyszczona, emulgator: sukroestry kwasów tłuszczowych Możliwe ślady orzechów i soi Przechowywać w chłodnym lub umiarkowanym i suchym miejscu.`en:milk`en:nuts,en:soybeans`e473,e500ii```2112661
464723`WATERMELON``````2234168
464987`Lemon``````2234432
466414`19% ziemniaki gotowane, olej rzepakowy, 14% marchew gotowana, 10% pasternak gotowany, woda, 6% jaja gotowane, 9% seler gotowany, 5% ogórek konserwowy 5% porkonserwowy.5% pietruszka gotowana, cukier, só, mielona gorczyca, ocet spirytusowy, kurkuma, žórtko ala, szczypiorek, natka pietruszki, pieprz, skrobia modyfikowana, requlatory kwasowosci (kwas mlekowy, octany sodu, mleczán sodu), substancje zageszczajace (guma quar, guma ksántanowa), substancje konserwujące (benzoesan sod, sorbinian potasu), ekstraktzmarchwi. Produkt może zawierać ryby, skorupiaki, soje, gluten, mleko i sezam.``en:crustaceans,en:fish,en:gluten,en:milk,en:sesame-seeds,en:soybeans`e14xx,e202,e262,e270```2235859
466888`Borówka* (45%) (Vaccinium vitis-idaea), cukier*, woda, substancja żelująca (E440), regulator kwasowości (E330). * Ekologiczne (przygotowane z 45 g owoców na 100 g)```e330,e440```2236333
469082`pomidory (124 g pomidorów na 100 g produktu), cukier, ocet, skrobia modyfikowana, sól, regulator kwasowości – kwasek cytrynowy, naturalne aromaty, przyprawy i ekstrakty przypraw. może zawierać seler.``en:celery`e14xx,e330```2238527
