"id"^"name"^"kcal"
"1"^"Aerobik"^"300"
"2"^"Jazda na deskorolce"^"318"
"3"^"Jazda na rolkach"^"342"
"4"^"Pływanie"^"366"
"5"^"Tenis"^"432"
"6"^"Jazda na nartach"^"438"
"7"^"Jazda na rowerze"^"510"
"8"^"Jogging"^"500"
